row_number,manufacturer,brand,category,part_number,description,material,size,size_uom,pressure_rating,pressure_uom,connection_type,temperature_range
155,Emerson Electric,Grundfos,Ball Valve,EME-BA-6-0154,"6 mm Carbon Steel Ball Valve, 150 psi",Carbon Steel,6,mm,150,psi,Threaded,-20°F to 350°F
156,Apollo Valves,NIBCO,Check Valve,APO-CH-1-0155,"1 in Stainless Steel 316 Check Valve, 800 psi",Stainless Steel 316,1,,800,psi,Solder,-20°F to 350°F
157,Milwaukee Valve,Fisher,Gate Valve,MIL-GA-3-0156,"3 in Stainless Steel 304 Gate Valve, 400 WOG",Stainless Steel 304,3,in,400,WOG,BSP,
158,Milwaukee Valve,Kitz,Needle Valve,MIL-NE-1-14-0157,"1-1/4 in Brass Needle Valve, 1000 psi",Brass,,in,1000,psi,NPT,-40°F to 400°F
159,Milwaukee Valve,Swagelok,Centrifugal Pump,MIL-CE-6-0158,"6 in PVC Centrifugal Pump, 200 CWP",PVC,6,in,200,CWP,FNPT,-20°C to 180°C
160,Pentair,Kitz,Globe Valve,PEN-GL-38-0159,"3/8 in Carbon Steel Globe Valve, 300 CWP",Carbon Steel,3/8,in,300,CWP,NPT,-40°F to 400°F
161,Emerson Electric,Watts,Centrifugal Pump,EME-CE-34-0160,"3/4 in Brass Centrifugal Pump, 300 psi",,3/4,in,300,psi,Compression,-40°F to 400°F
162,Milwaukee Valve,NIBCO,Ball Valve,MIL-BA-38-0161,"3/8 in Cast Iron Ball Valve, 150 psi",Cast Iron,3/8,in,150,psi,,
163,Victaulic,Fisher,Centrifugal Pump,VIC-CE-38-0162,"3/8 in Stainless Steel 316 Centrifugal Pump, 1500 psi",Stainless Steel 316,3/8,in,1500,psi,FNPT,0°C to 200°C
164,,Apollo,Butterfly Valve,HON-BU-4-0163,"4 in Carbon Steel Butterfly Valve, 1500 WOG",Carbon Steel,4,in,1500,WOG,Solder,-20°C to 180°C
165,,Kitz,Check Valve,APO-CH-3-0164,"3 mm Stainless Steel 316 Check Valve, 800 WOG",,3,mm,800,WOG,BSP,-40°F to 400°F
166,Flowserve,Watts,Needle Valve,FLO-NE-1-0165,"1 mm Carbon Steel Needle Valve, 150 psi",Carbon Steel,1,mm,150,psi,Solder,
167,Pentair,Kitz,Reducer,PEN-RE-3-0166,"3 in Cast Iron Reducer, 1500 CWP",Cast Iron,3,in,,CWP,BSP,-40°F to 400°F
168,Pentair,Watts,Coupling,PEN-CO-14-0167,"1/4 in Brass Coupling, 300 psi",Brass,1/4,in,300,psi,Threaded,0°C to 200°C
169,Apollo Valves,Fisher,Gate Valve,APO-GA-34-0168,"3/4 mm Stainless Steel 316 Gate Valve, 300 WOG",Stainless Steel 316,3/4,mm,300,WOG,,0°F to 250°F
170,Victaulic,Grundfos,Butterfly Valve,VIC-BU-2-0169,"2 in Bronze Butterfly Valve, 800 psi",Bronze,2,in,800,psi,FNPT,0°F to 250°F
171,Flowserve,Sharpe,Ball Valve,FLO-BA-14-0170,"1/4 in Brass Ball Valve, 1500 WOG",Brass,1/4,in,1500,WOG,FNPT,-20°C to 180°C
172,Emerson Electric,Apollo,Globe Valve,EME-GL-38-0171,"3/8 in Stainless Steel 304 Globe Valve, 800 psi",Stainless Steel 304,3/8,in,800,psi,,-40°F to 400°F
173,Honeywell,Grundfos,Tee Fitting,HON-TE-38-0172,"3/8 in Brass Tee Fitting, 400 psi",Brass,3/8,in,,psi,Flanged,0°C to 200°C
174,Watts Water Technologies,Apollo,Globe Valve,WAT-GL-34-0173,"3/4 in PVC Globe Valve, 150 psi",PVC,3/4,in,150,psi,FNPT,0°F to 250°F
175,Watts Water Technologies,Swagelok,Check Valve,WAT-CH-1-0174,"1 in Brass Check Valve, 1500 psi",Brass,1,in,1500,psi,FNPT,0°F to 250°F
176,Parker Hannifin,Swagelok,Centrifugal Pump,PAR-CE-3-0175,"3 in PVC Centrifugal Pump, 1500 psi",PVC,3,in,1500,psi,NPT,-20°C to 180°C
177,Honeywell,Watts,Tee Fitting,HON-TE-14-0176,"1/4 in Cast Iron Tee Fitting, 200 WOG",Cast Iron,1/4,,200,WOG,FNPT,-40°F to 400°F
178,Nibco,Apollo,Centrifugal Pump,NIB-CE-38-0177,"3/8 in Ductile Iron Centrifugal Pump, 300 psi",Ductile Iron,3/8,in,300,psi,Solder,0°C to 200°C
179,Crane Co.,Swagelok,Butterfly Valve,CRA-BU-14-0178,"1/4 in PVC Butterfly Valve, 600 WOG",,1/4,in,600,WOG,FNPT,0°C to 200°C
180,Parker Hannifin,Kitz,Centrifugal Pump,PAR-CE-1-0179,"1 in Stainless Steel 304 Centrifugal Pump, 200 psi",Stainless Steel 304,1,in,200,psi,FNPT,0°F to 250°F
181,Pentair,Fisher,Centrifugal Pump,PEN-CE-2-12-0180,"2-1/2 in Brass Centrifugal Pump, 200 psi",Brass,2-1/2,in,200,psi,,
182,Parker Hannifin,Kitz,Centrifugal Pump,PAR-CE-2-0181,"2 mm Stainless Steel 316 Centrifugal Pump, 1000 psi",Stainless Steel 316,2,mm,1000,psi,Compression,-20°F to 350°F
183,Swagelok,Sharpe,Check Valve,SWA-CH-12-0182,"1/2 mm Brass Check Valve, 400 psi",Brass,,mm,400,,Compression,-40°F to 400°F
184,Kitz Corporation,Apollo,Butterfly Valve,KIT-BU-6-0183,"6 in Stainless Steel 304 Butterfly Valve, 1000 WOG",Stainless Steel 304,6,in,1000,,Threaded,0°F to 250°F
185,Swagelok,Kitz,Butterfly Valve,SWA-BU-1-0184,"1 in Stainless Steel 304 Butterfly Valve, 1500 psi",Stainless Steel 304,1,in,1500,psi,BSP,0°F to 250°F
186,Bray International,Grundfos,Globe Valve,BRA-GL-6-0185,"6 in Cast Iron Globe Valve, 1500 psi",Cast Iron,6,in,1500,psi,BSP,-20°C to 180°C
187,Nibco,Kitz,Gate Valve,NIB-GA-1-0186,"1 in Cast Iron Gate Valve, 1500 psi",Cast Iron,1,in,1500,psi,Compression,0°F to 250°F
188,Apollo Valves,Kitz,Butterfly Valve,APO-BU-2-0187,"2 in Stainless Steel 304 Butterfly Valve, 1500 psi",Stainless Steel 304,2,in,1500,psi,Threaded,0°C to 200°C
189,Honeywell,Watts,Coupling,HON-CO-3-0188,"3 in Ductile Iron Coupling, 300 psi",Ductile Iron,3,in,,psi,Threaded,-40°F to 400°F
190,Bray International,,Ball Valve,BRA-BA-3-0189,"3 in Cast Iron Ball Valve, 1000 WOG",Cast Iron,3,,1000,WOG,Flanged,-20°C to 180°C
191,Velan,NIBCO,Globe Valve,VEL-GL-12-0190,"1/2 in Stainless Steel 304 Globe Valve, 1000 CWP",Stainless Steel 304,1/2,in,1000,CWP,Solder,0°F to 250°F
192,Watts Water Technologies,,Gate Valve,WAT-GA-1-12-0191,"1-1/2 in Cast Iron Gate Valve, 400 psi",Cast Iron,1-1/2,in,400,psi,Compression,-40°F to 400°F
193,Kitz Corporation,Apollo,Ball Valve,KIT-BA-4-0192,"4 in Bronze Ball Valve, 150 psi",Bronze,4,in,150,psi,Flanged,-20°C to 180°C
194,Crane Co.,Grundfos,Gate Valve,CRA-GA-38-0193,"3/8 mm Ductile Iron Gate Valve, 200 psi",Ductile Iron,3/8,mm,200,psi,NPT,-20°F to 350°F
195,Victaulic,NIBCO,Check Valve,VIC-CH-34-0194,"3/4 in Stainless Steel 316 Check Valve, 150 psi",Stainless Steel 316,3/4,in,150,psi,NPT,0°C to 200°C
196,Crane Co.,Milwaukee,Ball Valve,CRA-BA-14-0195,"1/4 in Cast Iron Ball Valve, 800 psi",,1/4,in,800,psi,Flanged,-20°F to 350°F
197,Victaulic,Sharpe,Globe Valve,VIC-GL-38-0196,"3/8 in Cast Iron Globe Valve, 1000 WOG",Cast Iron,3/8,in,1000,WOG,BSP,-20°C to 180°C
198,Emerson Electric,Swagelok,Union,EME-UN-12-0197,"1/2 mm PVC Union, 1000 psi",PVC,1/2,mm,1000,psi,Solder,
199,Velan,Kitz,Needle Valve,VEL-NE-4-0198,"4 in Carbon Steel Needle Valve, 200 WOG",Carbon Steel,4,in,200,WOG,,-40°F to 400°F
200,Milwaukee Valve,Fisher,Tee Fitting,MIL-TE-2-0199,"2 in Bronze Tee Fitting, 400 psi",Bronze,2,in,400,psi,BSP,-20°F to 350°F
201,,Sharpe,Flange,WAT-FL-38-0200,"3/8 in Brass Flange, 1000 psi",Brass,3/8,in,1000,psi,Solder,0°C to 200°C
