Manufacturer,Brand,Category,Part Number,Description,Material,Size,UOM,Pressure Rating,Pressure UOM,Connection Type,Temperature Range
Pentair plc,Kitz,Globe Valve,PEN-GL-38-0159,"3/8 in Carbon Steel Globe Valve, 300 CWP",CS,3/8,in,300,CWP,NPT,-40°F to 400°F
Emerson Electric Co,Watts,Centrifugal Pump,EME-CE-34-0160,"3/4 in Brass Centrifugal Pump, 300 psi",,3/4,in,300,psi,Compression,-40°F to 400°F
Milwaukee,NIBCO,Ball Valve,MIL-BA-38-0161,"3/8 in Cast Iron Ball Valve, 150 psi",Cast Iron,3/8,in,150,psi,N/A,n/a
VICTAULIC,Fisher,Centrifugal Pump,VIC-CE-38-0162,"3/8 in Stainless Steel 316 Centrifugal Pump, 1500 psi",316 Stainless Steel,3/8,in,--,psi,FNPT,0°C to 200°C
,Apollo,Butterfly Valve,HON-BU-4-0163,"4 in Carbon Steel Butterfly Valve, 1500 WOG",Carbon Steel,4,in,1500,WOG,Solder,-20°C to 180°C
,Kitz,Check Valve,APO-CH-3-0164,"3 mm Stainless Steel 316 Check Valve, 800 WOG",,3,mm,800,WOG,BSP,-40°F to 400°F
Flowserve Corporation,Watts,Needle Valve,FLO-NE-1-0165,"1 mm Carbon Steel Needle Valve, 150 psi",carbon steel,1,mm,150,psi,Solder,
Pentair plc,Kitz,Reducer,PEN-RE-3-0166,"3 in Cast Iron Reducer, 1500 CWP",Cast Iron,3,in,N/A,CWP,BSP,-40°F to 400°F
PENTAIR,Watts,Coupling,PEN-CO-14-0167,"1/4 in Brass Coupling, 300 psi",Brass,1/4,in,300,psi,Threaded,0°C to 200°C
APOLLO,Fisher,Gate Valve,APO-GA-34-0168,"3/4 mm Stainless Steel 316 Gate Valve, 300 WOG",316 Stainless Steel,3/4,mm,300,WOG,n/a,0°F to 250°F
Victaulic Company,Grundfos,Butterfly Valve,VIC-BU-2-0169,"2 in Bronze Butterfly Valve, 800 psi",BRONZE,2,in,800,psi,FNPT,0°F to 250°F
Flowserve Corp,Sharpe,Ball Valve,FLO-BA-14-0170,"1/4 in Brass Ball Valve, 1500 WOG",Brass,1/4,in,1500,WOG,FNPT,-20°C to 180°C
Emerson,Apollo,Globe Valve,EME-GL-38-0171,"3/8 in Stainless Steel 304 Globe Valve, 800 psi",n/a,3/8,in,800,psi,n/a,-40°F to 400°F
Honeywell International,Grundfos,Tee Fitting,HON-TE-38-0172,"3/8 in Brass Tee Fitting, 400 psi",BRASS,3/8,in,,psi,Flanged,0°C to 200°C
Watts,Apollo,Globe Valve,WAT-GL-34-0173,"3/4 in PVC Globe Valve, 150 psi",PVC,3/4,in,150,psi,FNPT,0°F to 250°F
Watts,Swagelok,Check Valve,WAT-CH-1-0174,"1 in Brass Check Valve, 1500 psi",brass,1,in,1500,psi,FNPT,0°F to 250°F
Parker-Hannifin,Swagelok,Centrifugal Pump,PAR-CE-3-0175,"3 in PVC Centrifugal Pump, 1500 psi",PVC,3,in,1500,psi,NPT,-20°C to 180°C
Honeywell International,Watts,Tee Fitting,HON-TE-14-0176,"1/4 in Cast Iron Tee Fitting, 200 WOG",cast iron,1/4,--,200,WOG,FNPT,-40°F to 400°F
--,Apollo,Centrifugal Pump,NIB-CE-38-0177,"3/8 in Ductile Iron Centrifugal Pump, 300 psi",ductile iron,3/8,in,300,n/a,Solder,0°C to 200°C
Crane Company,Swagelok,Butterfly Valve,CRA-BU-14-0178,"1/4 in PVC Butterfly Valve, 600 WOG",n/a,1/4,in,600,WOG,FNPT,0°C to 200°C
Parker,Kitz,Centrifugal Pump,PAR-CE-1-0179,"1 in Stainless Steel 304 Centrifugal Pump, 200 psi",304 Stainless Steel,1,in,200,psi,FNPT,0°F to 250°F
Pentair plc,Fisher,Centrifugal Pump,PEN-CE-2-12-0180,"2-1/2 in Brass Centrifugal Pump, 200 psi",brass,2-1/2,in,200,psi,,
PARKER HANNIFIN,Kitz,Centrifugal Pump,PAR-CE-2-0181,"2 mm Stainless Steel 316 Centrifugal Pump, 1000 psi",SS316,2,mm,1000,psi,Compression,-20°F to 350°F
Swagelok Company,Sharpe,Check Valve,SWA-CH-12-0182,"1/2 mm Brass Check Valve, 400 psi",Brass,--,mm,400,,Compression,-40°F to 400°F
Kitz,Apollo,Butterfly Valve,KIT-BU-6-0183,"6 in Stainless Steel 304 Butterfly Valve, 1000 WOG",304 Stainless,6,in,1000,,Threaded,0°F to 250°F
Swagelok Company,Kitz,Butterfly Valve,SWA-BU-1-0184,"1 in Stainless Steel 304 Butterfly Valve, 1500 psi",304 Stainless,1,in,1500,psi,BSP,0°F to 250°F
BRAY,Grundfos,Globe Valve,BRA-GL-6-0185,"6 in Cast Iron Globe Valve, 1500 psi",cast iron,6,in,N/A,psi,BSP,-20°C to 180°C
NIBCO Inc,Kitz,Gate Valve,NIB-GA-1-0186,"1 in Cast Iron Gate Valve, 1500 psi",Cast Iron,1,in,1500,psi,Compression,0°F to 250°F
Apollo Valve,Kitz,Butterfly Valve,APO-BU-2-0187,"2 in Stainless Steel 304 Butterfly Valve, 1500 psi",304 SS,2,in,1500,psi,Threaded,0°C to 200°C
Honeywell Inc,Watts,Coupling,HON-CO-3-0188,"3 in Ductile Iron Coupling, 300 psi",ductile iron,3,in,,psi,Threaded,-40°F to 400°F
BRAY,N/A,Ball Valve,BRA-BA-3-0189,"3 in Cast Iron Ball Valve, 1000 WOG",cast iron,3,n/a,1000,WOG,Flanged,-20°C to 180°C
Velan Inc,NIBCO,Globe Valve,VEL-GL-12-0190,"1/2 in Stainless Steel 304 Globe Valve, 1000 CWP",304 Stainless,1/2,in,1000,CWP,Solder,0°F to 250°F
Watts,N/A,Gate Valve,WAT-GA-1-12-0191,"1-1/2 in Cast Iron Gate Valve, 400 psi",Cast Iron,1-1/2,in,400,psi,Compression,-40°F to 400°F
Kitz,Apollo,Ball Valve,KIT-BA-4-0192,"4 in Bronze Ball Valve, 150 psi",BRONZE,4,in,150,psi,Flanged,-20°C to 180°C
Crane Company,Grundfos,Gate Valve,CRA-GA-38-0193,"3/8 mm Ductile Iron Gate Valve, 200 psi",Ductile Iron,3/8,mm,200,psi,NPT,-20°F to 350°F
Victaulic Company,NIBCO,Check Valve,VIC-CH-34-0194,"3/4 in Stainless Steel 316 Check Valve, 150 psi",SS316,3/4,in,150,psi,NPT,0°C to 200°C
Crane Company,Milwaukee,Ball Valve,CRA-BA-14-0195,"1/4 in Cast Iron Ball Valve, 800 psi",n/a,1/4,in,800,psi,Flanged,-20°F to 350°F
VICTAULIC,Sharpe,Globe Valve,VIC-GL-38-0196,"3/8 in Cast Iron Globe Valve, 1000 WOG",CI,3/8,in,1000,WOG,BSP,-20°C to 180°C
Emerson Electric Co,Swagelok,Union,EME-UN-12-0197,"1/2 mm PVC Union, 1000 psi",PVC,1/2,mm,1000,psi,Solder,n/a
VELAN,Kitz,Needle Valve,VEL-NE-4-0198,"4 in Carbon Steel Needle Valve, 200 WOG",CS,4,in,200,WOG,,-40°F to 400°F
Milwaukee,Fisher,Tee Fitting,MIL-TE-2-0199,"2 in Bronze Tee Fitting, 400 psi",bronze,2,in,n/a,psi,BSP,-20°F to 350°F
n/a,Sharpe,Flange,WAT-FL-38-0200,"3/8 in Brass Flange, 1000 psi",n/a,3/8,n/a,1000,psi,Solder,0°C to 200°C
